,params,mle,N,p_transition,offset,kappa
29,3.4_10.0_0.9_2.2_10.0,-13670.953903846153,3.4,0.9,10.0,2.2
30,3.6_16.0_1.3_1.4_10.0,-13743.907,3.6,1.3,16.0,1.4
31,3.6_10.0_1.1_2.2_10.0,-13671.472865384614,3.6,1.1,10.0,2.2
32,4.8_16.5_0.7_2.0_10.0,-13682.6685,4.8,0.7,16.5,2.0
33,4.2_10.5_1.4_2.4_10.0,-13697.460442307696,4.2,1.4,10.5,2.4
34,3.4_15.0_0.7_2.6_10.0,-13716.18676923077,3.4,0.7,15.0,2.6
35,4.0_14.0_0.5_2.6_10.0,-13689.361153846154,4.0,0.5,14.0,2.6
36,4.8_13.5_0.9_2.4_10.0,-13670.045865384618,4.8,0.9,13.5,2.4
37,3.0_10.0_1.2_2.1_10.0,-13675.859192307693,3.0,1.2,10.0,2.1
38,4.6_16.0_0.5_2.8_10.0,-13692.271423076922,4.6,0.5,16.0,2.8
39,4.6_11.0_0.8_2.1_10.0,-13738.309384615384,4.6,0.8,11.0,2.1
40,3.2_17.0_0.7_2.8_10.0,-13789.857692307694,3.2,0.7,17.0,2.8
41,4.4_11.0_1.0_2.1_10.0,-13702.596826923076,4.4,1.0,11.0,2.1
42,4.8_16.0_0.9_2.4_10.0,-13678.301173076923,4.8,0.9,16.0,2.4
43,4.0_11.5_0.5_2.6_10.0,-13692.60201923077,4.0,0.5,11.5,2.6
44,3.6_9.0_0.6_2.8_10.0,-13717.248038461541,3.6,0.6,9.0,2.8
45,4.2_15.0_1.4_2.4_10.0,-13716.283442307691,4.2,1.4,15.0,2.4
46,3.4_10.5_0.7_2.6_10.0,-13673.119423076925,3.4,0.7,10.5,2.6
47,4.4_14.5_1.0_2.1_10.0,-13674.51498076923,4.4,1.0,14.5,2.1
48,3.2_12.5_0.7_2.8_10.0,-13683.694634615385,3.2,0.7,12.5,2.8
49,4.6_13.5_0.5_2.8_10.0,-13686.046153846151,4.6,0.5,13.5,2.8
50,3.0_15.5_1.2_2.1_10.0,-13764.970749999997,3.0,1.2,15.5,2.1
51,4.6_14.5_0.8_2.1_10.0,-13668.856634615386,4.6,0.8,14.5,2.1
52,4.8_16.0_0.6_2.3_10.0,-13685.395461538465,4.8,0.6,16.0,2.3
53,3.4_10.5_0.8_2.1_10.0,-13670.435038461535,3.4,0.8,10.5,2.1
54,3.4_17.5_0.5_2.8_10.0,-13809.917615384618,3.4,0.5,17.5,2.8
55,4.4_9.0_0.7_2.9_10.0,-13788.11771153846,4.4,0.7,9.0,2.9
56,4.2_11.5_1.2_2.1_10.0,-13674.557711538464,4.2,1.2,11.5,2.1
57,3.6_10.5_1.0_2.1_10.0,-13669.460442307689,3.6,1.0,10.5,2.1
58,4.0_16.5_0.7_2.8_10.0,-13714.709673076923,4.0,0.7,16.5,2.8
59,4.6_14.5_0.7_2.6_10.0,-13671.630307692307,4.6,0.7,14.5,2.6
60,3.0_11.0_1.4_2.4_10.0,-13708.291057692306,3.0,1.4,11.0,2.4
61,3.2_15.5_0.5_2.6_10.0,-13763.07178846154,3.2,0.5,15.5,2.6
62,3.8_12.0_1.1_2.4_10.0,-13672.471038461537,3.8,1.1,12.0,2.4
63,4.0_13.0_0.7_2.8_10.0,-13673.898711538459,4.0,0.7,13.0,2.8
64,3.6_15.0_1.0_2.1_10.0,-13701.271480769228,3.6,1.0,15.0,2.1
65,3.4_15.0_0.8_2.1_10.0,-13711.232211538461,3.4,0.8,15.0,2.1
66,4.2_14.0_1.2_2.1_10.0,-13685.467288461536,4.2,1.2,14.0,2.1
67,3.4_12.0_0.5_2.8_10.0,-13687.959192307688,3.4,0.5,12.0,2.8
68,4.8_13.5_0.6_2.3_10.0,-13685.387807692307,4.8,0.6,13.5,2.3
69,3.8_17.5_1.1_2.4_10.0,-13759.082423076923,3.8,1.1,17.5,2.4
70,4.8_9.5_0.6_2.9_10.0,-13826.842019230768,4.8,0.6,9.5,2.9
71,3.2_10.0_0.5_2.6_10.0,-13685.569326923081,3.2,0.5,10.0,2.6
72,4.6_11.0_0.7_2.6_10.0,-13742.825961538463,4.6,0.7,11.0,2.6
73,3.0_14.5_1.4_2.4_10.0,-13769.406134615387,3.0,1.4,14.5,2.4
74,4.2_10.5_0.9_2.9_10.0,-13704.41594230769,4.2,0.9,10.5,2.9
75,4.2_11.5_0.6_1.6_10.0,-13698.174923076922,4.2,0.6,11.5,1.6
76,3.4_11.5_1.3_2.9_10.0,-13700.345923076924,3.4,1.3,11.5,2.9
77,4.0_10.5_1.1_2.9_10.0,-13684.184923076924,4.0,1.1,10.5,2.9
78,3.6_16.5_0.6_2.0_10.0,-13753.748576923077,3.6,0.6,16.5,2.0
79,4.8_16.0_1.2_1.4_10.0,-13689.56248076923,4.8,1.2,16.0,1.4
80,4.8_13.5_1.4_2.9_10.0,-13690.400903846154,4.8,1.4,13.5,2.9
81,4.8_10.0_1.0_2.2_10.0,-13777.27721153846,4.8,1.0,10.0,2.2
82,3.8_14.0_0.7_2.5_10.0,-13682.20705769231,3.8,0.7,14.0,2.5
83,4.6_12.5_1.1_2.7_10.0,-13677.209519230768,4.6,1.1,12.5,2.7
84,4.4_12.5_0.9_2.7_10.0,-13670.755346153846,4.4,0.9,12.5,2.7
85,4.4_13.5_0.6_1.8_10.0,-13681.844230769231,4.4,0.6,13.5,1.8
86,4.8_9.5_1.4_2.3_10.0,-13790.486711538462,4.8,1.4,9.5,2.3
87,3.2_13.5_1.3_2.7_10.0,-13729.896038461537,3.2,1.3,13.5,2.7
88,4.8_16.0_1.4_2.9_10.0,-13725.065115384614,4.8,1.4,16.0,2.9
89,4.8_13.5_1.2_1.4_10.0,-13673.676500000001,4.8,1.2,13.5,1.4
90,4.8_15.5_1.0_2.2_10.0,-13674.074173076924,4.8,1.0,15.5,2.2
91,3.6_13.0_0.6_2.0_10.0,-13685.326076923075,3.6,0.6,13.0,2.0
92,4.0_15.0_1.1_2.9_10.0,-13705.239423076922,4.0,1.1,15.0,2.9
93,4.2_14.0_0.6_1.6_10.0,-13689.256576923075,4.2,0.6,14.0,1.6
94,4.2_15.0_0.9_2.9_10.0,-13684.096,4.2,0.9,15.0,2.9
95,3.4_14.0_1.3_2.9_10.0,-13735.082173076922,3.4,1.3,14.0,2.9
96,4.4_16.0_0.6_1.8_10.0,-13695.059615384616,4.4,0.6,16.0,1.8
97,4.4_17.0_0.9_2.7_10.0,-13702.461192307692,4.4,0.9,17.0,2.7
98,3.2_16.0_1.3_2.7_10.0,-13789.281673076923,3.2,1.3,16.0,2.7
99,4.6_17.0_1.1_2.7_10.0,-13705.745884615386,4.6,1.1,17.0,2.7
100,3.8_11.5_0.7_2.5_10.0,-13671.364596153842,3.8,0.7,11.5,2.5
101,3.4_13.0_1.1_2.7_10.0,-13694.73892307692,3.4,1.1,13.0,2.7
102,3.6_9.0_1.4_2.2_10.0,-13694.749557692307,3.6,1.4,9.0,2.2
103,4.0_12.0_1.3_2.7_10.0,-13681.967923076922,4.0,1.3,12.0,2.7
104,3.6_12.0_0.6_1.8_10.0,-13683.03853846154,3.6,0.6,12.0,1.8
105,3.6_13.0_0.9_2.7_10.0,-13678.151423076924,3.6,0.9,13.0,2.7
106,4.6_10.0_1.3_2.9_10.0,-13741.201384615386,4.6,1.3,10.0,2.9
107,3.0_10.0_0.6_1.6_10.0,-13684.41798076923,3.0,0.6,10.0,1.6
108,3.0_11.0_0.9_2.9_10.0,-13678.552076923079,3.0,0.9,11.0,2.9
109,4.4_17.0_0.6_2.0_10.0,-13708.25892307692,4.4,0.6,17.0,2.0
110,3.2_11.0_1.1_2.9_10.0,-13684.285019230769,3.2,1.1,11.0,2.9
111,3.8_11.5_0.8_2.2_10.0,-13668.015365384617,3.8,0.8,11.5,2.2
112,4.0_17.5_1.3_2.7_10.0,-13774.053365384616,4.0,1.3,17.5,2.7
113,3.6_16.5_0.9_2.7_10.0,-13742.40603846154,3.6,0.9,16.5,2.7
114,3.4_16.5_1.1_2.7_10.0,-13767.486403846153,3.4,1.1,16.5,2.7
