,params,mle,N,p_transition,offset,kappa
4104,4.2_9.5_1.4_2.7_10.0,-13722.84742307692,4.2,1.4,9.5,2.7
4105,4.4_9.0_0.9_1.8_10.0,-13781.837846153849,4.4,0.9,9.0,1.8
4106,4.0_17.5_0.6_2.6_10.0,-13748.69148076923,4.0,0.6,17.5,2.6
4107,3.8_10.5_1.4_2.1_10.0,-13682.43873076923,3.8,1.4,10.5,2.1
4108,3.0_13.5_1.1_2.1_10.0,-13706.976365384615,3.0,1.1,13.5,2.1
4109,4.6_15.5_0.6_2.8_10.0,-13683.972134615384,4.6,0.6,15.5,2.8
4110,3.2_13.5_0.9_2.1_10.0,-13691.054576923078,3.2,0.9,13.5,2.1
4111,4.4_12.5_1.3_2.1_10.0,-13676.11901923077,4.4,1.3,12.5,2.1
4112,4.0_9.0_1.0_1.8_10.0,-13742.275173076921,4.0,1.0,9.0,1.8
4113,4.0_12.0_0.6_2.6_10.0,-13676.540403846153,4.0,0.6,12.0,2.6
4114,3.2_16.0_0.9_2.1_10.0,-13751.370615384612,3.2,0.9,16.0,2.1
4115,4.8_9.5_0.8_1.8_10.0,-13820.572538461538,4.8,0.8,9.5,1.8
4116,4.4_17.0_1.3_2.1_10.0,-13722.51826923077,4.4,1.3,17.0,2.1
4117,4.6_10.0_0.6_2.8_10.0,-13775.348615384613,4.6,0.6,10.0,2.8
4118,3.0_16.0_1.1_2.1_10.0,-13769.150153846156,3.0,1.1,16.0,2.1
4119,3.8_15.0_1.4_2.1_10.0,-13725.86251923077,3.8,1.4,15.0,2.1
4120,4.8_15.5_0.5_2.3_10.0,-13688.173557692307,4.8,0.5,15.5,2.3
4121,3.4_14.0_0.6_2.8_10.0,-13699.920019230773,3.4,0.6,14.0,2.8
4122,4.2_12.0_1.1_2.1_10.0,-13670.796730769232,4.2,1.1,12.0,2.1
4123,3.6_13.0_1.3_2.1_10.0,-13695.302903846155,3.6,1.3,13.0,2.1
4124,4.0_12.0_0.9_2.1_10.0,-13665.808153846152,4.0,0.9,12.0,2.1
4125,3.2_16.0_0.6_2.6_10.0,-13768.568384615386,3.2,0.6,16.0,2.6
4126,3.8_11.5_1.2_2.4_10.0,-13672.858673076924,3.8,1.2,11.5,2.4
4127,3.6_16.5_1.3_2.1_10.0,-13760.278480769231,3.6,1.3,16.5,2.1
4128,4.0_17.5_0.9_2.1_10.0,-13734.264192307692,4.0,0.9,17.5,2.1
4129,4.2_17.5_1.1_2.1_10.0,-13726.925403846155,4.2,1.1,17.5,2.1
4130,3.4_11.5_0.6_2.8_10.0,-13678.871903846155,3.4,0.6,11.5,2.8
4131,4.8_10.0_0.5_2.3_10.0,-13806.432365384619,4.8,0.5,10.0,2.3
4132,3.8_14.0_1.2_2.4_10.0,-13696.827846153845,3.8,1.2,14.0,2.4
4133,3.2_13.5_0.6_2.6_10.0,-13700.009596153845,3.2,0.6,13.5,2.6
4134,3.8_16.0_1.1_2.9_10.0,-13732.34184615385,3.8,1.1,16.0,2.9
4135,3.4_9.0_1.0_2.8_10.0,-13682.917826923078,3.4,1.0,9.0,2.8
4136,4.4_17.5_1.2_2.2_10.0,-13723.308384615382,4.4,1.2,17.5,2.2
4137,4.4_11.5_1.0_1.4_10.0,-13691.327346153845,4.4,1.0,11.5,1.4
4138,3.2_16.5_0.8_2.2_10.0,-13767.730442307693,3.2,0.8,16.5,2.2
4139,3.0_10.5_1.2_1.4_10.0,-13681.908134615387,3.0,1.2,10.5,1.4
4140,3.0_15.0_1.4_2.9_10.0,-13798.134923076925,3.0,1.4,15.0,2.9
4141,4.6_11.5_0.8_1.4_10.0,-13722.054250000003,4.6,0.8,11.5,1.4
4142,3.0_16.5_1.0_2.2_10.0,-13779.58569230769,3.0,1.0,16.5,2.2
4143,3.6_17.0_1.4_2.7_10.0,-13800.802576923075,3.6,1.4,17.0,2.7
4144,4.0_12.5_0.7_2.5_10.0,-13671.556326923077,4.0,0.7,12.5,2.5
4145,3.4_13.5_0.5_2.5_10.0,-13699.552211538461,3.4,0.5,13.5,2.5
4146,3.0_10.5_1.4_2.9_10.0,-13710.722326923078,3.0,1.4,10.5,2.9
4147,3.0_15.0_1.2_1.4_10.0,-13751.23876923077,3.0,1.2,15.0,1.4
4148,3.0_13.0_1.0_2.2_10.0,-13694.288653846153,3.0,1.0,13.0,2.2
4149,4.6_14.0_0.8_1.4_10.0,-13675.122826923076,4.6,0.8,14.0,1.4
4150,3.0_9.0_0.9_2.8_10.0,-13672.095096153847,3.0,0.9,9.0,2.8
4151,4.4_12.0_1.2_2.2_10.0,-13675.907153846152,4.4,1.2,12.0,2.2
4152,3.2_13.0_0.8_2.2_10.0,-13684.163961538465,3.2,0.8,13.0,2.2
4153,4.4_14.0_1.0_1.4_10.0,-13671.772999999997,4.4,1.0,14.0,1.4
4154,3.8_13.5_1.1_2.9_10.0,-13692.060153846154,3.8,1.1,13.5,2.9
4155,3.8_9.5_1.1_2.8_10.0,-13695.804153846153,3.8,1.1,9.5,2.8
4156,3.4_16.0_0.5_2.5_10.0,-13762.010807692308,3.4,0.5,16.0,2.5
4157,3.6_12.5_1.4_2.7_10.0,-13714.902711538463,3.6,1.4,12.5,2.7
4158,4.0_17.0_0.7_2.5_10.0,-13726.442134615383,4.0,0.7,17.0,2.5
4159,3.2_13.0_0.7_2.5_10.0,-13687.553115384615,3.2,0.7,13.0,2.5
4160,4.4_16.5_1.4_2.7_10.0,-13738.881615384616,4.4,1.4,16.5,2.7
4161,4.2_9.0_0.8_2.9_10.0,-13762.008307692307,4.2,0.8,9.0,2.9
4162,4.6_12.0_0.5_2.5_10.0,-13715.01623076923,4.6,0.5,12.0,2.5
4163,3.8_14.5_1.3_2.7_10.0,-13721.263961538461,3.8,1.3,14.5,2.7
4164,4.8_17.5_0.9_2.9_10.0,-13697.412634615383,4.8,0.9,17.5,2.9
4165,4.0_17.0_0.8_2.2_10.0,-13721.805903846154,4.0,0.8,17.0,2.2
4166,3.6_10.0_1.0_1.4_10.0,-13676.273115384613,3.6,1.0,10.0,1.4
4167,3.6_16.0_1.2_2.2_10.0,-13739.122230769231,3.6,1.2,16.0,2.2
4168,4.2_17.0_1.0_2.2_10.0,-13710.197769230768,4.2,1.0,17.0,2.2
4169,3.4_10.0_0.8_1.4_10.0,-13681.022403846155,3.4,0.8,10.0,1.4
4170,4.2_14.5_1.4_2.9_10.0,-13722.504576923076,4.2,1.4,14.5,2.9
4171,4.2_11.0_1.2_1.4_10.0,-13686.203884615385,4.2,1.2,11.0,1.4
4172,4.6_9.0_1.1_2.9_10.0,-13800.10098076923,4.6,1.1,9.0,2.9
4173,3.8_11.0_1.3_2.7_10.0,-13683.777711538463,3.8,1.3,11.0,2.7
4174,4.6_17.5_0.5_2.5_10.0,-13713.460307692307,4.6,0.5,17.5,2.5
4175,3.2_16.5_0.7_2.5_10.0,-13774.27409615385,3.2,0.7,16.5,2.5
4176,4.4_13.0_1.4_2.7_10.0,-13692.37482692308,4.4,1.4,13.0,2.7
4177,3.4_15.5_0.8_1.4_10.0,-13731.016980769231,3.4,0.8,15.5,1.4
4178,4.2_12.5_1.0_2.2_10.0,-13665.77651923077,4.2,1.0,12.5,2.2
4179,4.2_14.5_1.2_1.4_10.0,-13685.617384615385,4.2,1.2,14.5,1.4
4180,4.2_11.0_1.4_2.9_10.0,-13691.896442307692,4.2,1.4,11.0,2.9
4181,3.6_15.5_1.0_1.4_10.0,-13712.144923076925,3.6,1.0,15.5,1.4
4182,4.0_12.5_0.8_2.2_10.0,-13668.77598076923,4.0,0.8,12.5,2.2
4183,3.6_13.5_1.2_2.2_10.0,-13694.213788461535,3.6,1.2,13.5,2.2
4184,4.8_12.0_0.9_2.9_10.0,-13710.232903846158,4.8,0.9,12.0,2.9
4185,4.8_13.0_0.6_1.6_10.0,-13701.682423076923,4.8,0.6,13.0,1.6
4186,3.4_9.5_1.3_2.4_10.0,-13678.619576923074,3.4,1.3,9.5,2.4
4187,3.8_16.5_1.2_2.5_10.0,-13744.992615384615,3.8,1.2,16.5,2.5
4188,3.0_10.0_1.1_1.8_10.0,-13669.98875,3.0,1.1,10.0,1.8
4189,3.2_10.0_0.9_1.8_10.0,-13668.990038461538,3.2,0.9,10.0,1.8
4190,3.2_11.0_0.6_2.7_10.0,-13678.94151923077,3.2,0.6,11.0,2.7
4191,4.4_11.0_1.3_1.8_10.0,-13698.128365384617,4.4,1.3,11.0,1.8
4192,3.4_12.0_0.9_1.6_10.0,-13675.97401923077,3.4,0.9,12.0,1.6
4193,4.2_15.0_1.1_2.0_10.0,-13683.727711538464,4.2,1.1,15.0,2.0
4194,3.4_13.0_0.6_2.9_10.0,-13688.255076923078,3.4,0.6,13.0,2.9
4195,4.2_13.0_1.3_1.6_10.0,-13679.84428846154,4.2,1.3,13.0,1.6
4196,3.6_12.0_1.1_1.6_10.0,-13674.09628846154,3.6,1.1,12.0,1.6
4197,4.0_15.0_0.9_2.0_10.0,-13682.485096153845,4.0,0.9,15.0,2.0
4198,3.6_14.0_1.3_2.0_10.0,-13707.181365384615,3.6,1.3,14.0,2.0
4199,4.8_12.5_0.5_2.2_10.0,-13718.766615384615,4.8,0.5,12.5,2.2
4200,4.8_14.5_0.7_1.4_10.0,-13680.09842307692,4.8,0.7,14.5,1.4
4201,3.2_14.5_0.6_2.7_10.0,-13722.162692307695,3.2,0.6,14.5,2.7
4202,3.2_15.5_0.9_1.8_10.0,-13737.4145,3.2,0.9,15.5,1.8
4203,4.4_14.5_1.3_1.8_10.0,-13690.29253846154,4.4,1.3,14.5,1.8
4204,3.0_15.5_1.1_1.8_10.0,-13755.59546153846,3.0,1.1,15.5,1.8
4205,3.8_13.0_1.2_2.5_10.0,-13691.153846153851,3.8,1.2,13.0,2.5
4206,3.8_9.0_1.2_2.4_10.0,-13713.009653846153,3.8,1.2,9.0,2.4
4207,4.8_17.0_0.5_2.2_10.0,-13699.842346153844,4.8,0.5,17.0,2.2
4208,4.8_11.0_0.7_1.4_10.0,-13763.63323076923,4.8,0.7,11.0,1.4
4209,4.0_10.5_0.9_2.0_10.0,-13687.809730769231,4.0,0.9,10.5,2.0
4210,3.6_11.5_1.3_2.0_10.0,-13681.519038461538,3.6,1.3,11.5,2.0
4211,3.4_16.5_0.6_2.9_10.0,-13768.57955769231,3.4,0.6,16.5,2.9
4212,4.2_10.5_1.1_2.0_10.0,-13698.359596153849,4.2,1.1,10.5,2.0
4213,3.0_9.5_0.5_2.3_10.0,-13687.407884615386,3.0,0.5,9.5,2.3
4214,3.0_12.5_1.3_1.6_10.0,-13702.121192307688,3.0,1.3,12.5,1.6
4215,4.6_12.5_0.6_2.9_10.0,-13689.25380769231,4.6,0.6,12.5,2.9
4216,3.0_14.5_1.1_2.0_10.0,-13731.017307692307,3.0,1.1,14.5,2.0
4217,4.6_13.5_0.9_1.6_10.0,-13671.462365384614,4.6,0.9,13.5,1.6
4218,4.4_15.5_1.3_2.0_10.0,-13698.934057692308,4.4,1.3,15.5,2.0
4219,3.2_14.5_0.9_2.0_10.0,-13710.52076923077,3.2,0.9,14.5,2.0
4220,4.4_13.5_1.1_1.6_10.0,-13670.49557692308,4.4,1.1,13.5,1.6
4221,3.8_17.5_1.4_2.0_10.0,-13781.615038461538,3.8,1.4,17.5,2.0
4222,4.2_11.5_1.1_1.8_10.0,-13673.143269230768,4.2,1.1,11.5,1.8
4223,3.6_10.5_1.3_1.8_10.0,-13677.451384615384,3.6,1.3,10.5,1.8
4224,4.0_10.5_0.6_2.7_10.0,-13702.455846153844,4.0,0.6,10.5,2.7
4225,4.0_11.5_0.9_1.8_10.0,-13673.77898076923,4.0,0.9,11.5,1.8
4226,3.8_12.0_1.4_2.0_10.0,-13688.61601923077,3.8,1.4,12.0,2.0
4227,4.6_9.5_1.2_2.5_10.0,-13767.535884615385,4.6,1.2,9.5,2.5
4228,4.4_10.0_1.3_2.0_10.0,-13726.239730769226,4.4,1.3,10.0,2.0
4229,4.4_16.0_1.1_1.6_10.0,-13688.252557692305,4.4,1.1,16.0,1.6
4230,3.2_11.0_0.9_2.0_10.0,-13670.56098076923,3.2,0.9,11.0,2.0
4231,4.6_16.0_0.9_1.6_10.0,-13678.30355769231,4.6,0.9,16.0,1.6
4232,3.0_11.0_1.1_2.0_10.0,-13678.347884615387,3.0,1.1,11.0,2.0
4233,4.6_17.0_0.6_2.9_10.0,-13697.692673076923,4.6,0.6,17.0,2.9
4234,3.6_15.0_1.3_1.8_10.0,-13720.305653846153,3.6,1.3,15.0,1.8
4235,4.0_14.0_0.9_1.8_10.0,-13674.33225,4.0,0.9,14.0,1.8
4236,4.0_15.0_0.6_2.7_10.0,-13692.03123076923,4.0,0.6,15.0,2.7
4237,4.2_14.0_1.1_1.8_10.0,-13677.403115384617,4.2,1.1,14.0,1.8
4238,3.2_9.0_1.3_1.6_10.0,-13677.103576923073,3.2,1.3,9.0,1.6
4239,3.6_11.0_1.2_2.3_10.0,-13672.159346153845,3.6,1.2,11.0,2.3
4240,4.0_10.0_0.8_2.3_10.0,-13707.50132692308,4.0,0.8,10.0,2.3
4241,4.2_13.5_1.4_2.8_10.0,-13706.116461538464,4.2,1.4,13.5,2.8
4242,4.2_10.0_1.0_2.3_10.0,-13722.685249999999,4.2,1.0,10.0,2.3
4243,3.8_9.5_1.3_2.7_10.0,-13696.117346153847,3.8,1.3,9.5,2.7
4244,4.8_10.5_0.9_2.8_10.0,-13759.008461538459,4.8,0.9,10.5,2.8
4245,3.8_13.5_1.3_2.6_10.0,-13703.854557692308,3.8,1.3,13.5,2.6
4246,4.4_11.5_1.4_2.6_10.0,-13690.228423076922,4.4,1.4,11.5,2.6
4247,3.2_14.0_0.7_2.4_10.0,-13703.575384615386,3.2,0.7,14.0,2.4
4248,4.2_9.0_0.5_2.1_10.0,-13784.44798076923,4.2,0.5,9.0,2.1
4249,4.6_15.0_0.5_2.4_10.0,-13687.763480769234,4.6,0.5,15.0,2.4
4250,4.0_9.5_1.3_1.4_10.0,-13715.540519230768,4.0,1.3,9.5,1.4
4251,4.8_15.0_0.9_2.8_10.0,-13670.968923076922,4.8,0.9,15.0,2.8
4252,4.2_16.0_1.4_2.8_10.0,-13742.432442307694,4.2,1.4,16.0,2.8
4253,4.2_15.5_1.0_2.3_10.0,-13687.7295,4.2,1.0,15.5,2.3
4254,3.6_14.5_1.2_2.3_10.0,-13709.236846153846,3.6,1.2,14.5,2.3
4255,4.0_15.5_0.8_2.3_10.0,-13690.667057692306,4.0,0.8,15.5,2.3
4256,4.6_10.5_0.5_2.4_10.0,-13765.28396153846,4.6,0.5,10.5,2.4
4257,4.4_14.0_1.4_2.6_10.0,-13701.622961538464,4.4,1.4,14.0,2.6
4258,3.2_11.5_0.7_2.4_10.0,-13677.410019230769,3.2,0.7,11.5,2.4
4259,3.4_9.0_1.2_2.7_10.0,-13682.807557692311,3.4,1.2,9.0,2.7
4260,3.8_16.0_1.3_2.6_10.0,-13745.990115384619,3.8,1.3,16.0,2.6
4261,4.0_15.5_0.7_2.4_10.0,-13693.834307692307,4.0,0.7,15.5,2.4
4262,3.6_10.0_1.4_2.6_10.0,-13685.358230769229,3.6,1.4,10.0,2.6
4263,3.4_14.5_0.5_2.4_10.0,-13716.991788461535,3.4,0.5,14.5,2.4
4264,3.2_11.5_0.8_2.3_10.0,-13674.330346153849,3.2,0.8,11.5,2.3
4265,4.4_10.5_1.2_2.3_10.0,-13718.190000000002,4.4,1.2,10.5,2.3
4266,3.0_11.5_1.0_2.3_10.0,-13677.941269230769,3.0,1.0,11.5,2.3
4267,3.0_12.0_1.4_2.8_10.0,-13729.169192307689,3.0,1.4,12.0,2.8
4268,3.8_11.0_1.1_2.8_10.0,-13676.198153846157,3.8,1.1,11.0,2.8
4269,4.6_9.0_1.3_2.6_10.0,-13795.188807692304,4.6,1.3,9.0,2.6
4270,3.4_11.0_0.5_2.4_10.0,-13684.065403846153,3.4,0.5,11.0,2.4
4271,4.0_10.0_0.7_2.4_10.0,-13714.201326923077,4.0,0.7,10.0,2.4
4272,3.6_15.5_1.4_2.6_10.0,-13759.489788461538,3.6,1.4,15.5,2.6
4273,3.2_9.5_1.4_2.8_10.0,-13690.992576923076,3.2,1.4,9.5,2.8
4274,3.8_14.5_1.1_2.8_10.0,-13703.397865384617,3.8,1.1,14.5,2.8
4275,3.0_14.0_1.0_2.3_10.0,-13716.199615384616,3.0,1.0,14.0,2.3
4276,3.0_17.5_1.4_2.8_10.0,-13857.053192307694,3.0,1.4,17.5,2.8
4277,3.2_14.0_0.8_2.3_10.0,-13700.566596153849,3.2,0.8,14.0,2.3
4278,4.4_15.0_1.2_2.3_10.0,-13691.379596153845,4.4,1.2,15.0,2.3
4279,4.0_13.5_1.1_2.5_10.0,-13684.004615384616,4.0,1.1,13.5,2.5
4280,4.2_13.5_0.9_2.5_10.0,-13670.258596153846,4.2,0.9,13.5,2.5
4281,3.4_12.5_1.3_2.5_10.0,-13701.379365384615,3.4,1.3,12.5,2.5
4282,3.2_9.5_0.6_2.2_10.0,-13684.965903846156,3.2,0.6,9.5,2.2
4283,4.0_9.5_0.8_2.4_10.0,-13730.318923076926,4.0,0.8,9.5,2.4
4284,4.8_10.5_1.4_2.5_10.0,-13742.903346153847,4.8,1.4,10.5,2.5
4285,4.8_15.0_1.2_1.8_10.0,-13676.60151923077,4.8,1.2,15.0,1.8
4286,3.8_17.0_0.7_2.9_10.0,-13744.807538461539,3.8,0.7,17.0,2.9
4287,3.8_16.0_0.8_1.6_10.0,-13711.537634615386,3.8,0.8,16.0,1.6
4288,4.8_9.0_1.0_2.4_10.0,-13850.863000000001,4.8,1.0,9.0,2.4
4289,4.4_10.5_0.6_1.4_10.0,-13756.056269230769,4.4,0.6,10.5,1.4
4290,3.0_17.5_0.6_2.2_10.0,-13834.043653846154,3.0,0.6,17.5,2.2
4291,4.8_10.5_1.2_1.8_10.0,-13752.17067307692,4.8,1.2,10.5,1.8
4292,4.8_15.0_1.4_2.5_10.0,-13699.592826923075,4.8,1.4,15.0,2.5
4293,4.2_16.0_0.9_2.5_10.0,-13691.885038461536,4.2,0.9,16.0,2.5
4294,4.4_9.5_1.1_2.4_10.0,-13747.437807692311,4.4,1.1,9.5,2.4
4295,3.4_17.0_1.3_2.5_10.0,-13793.917461538464,3.4,1.3,17.0,2.5
4296,4.0_16.0_1.1_2.5_10.0,-13712.262750000002,4.0,1.1,16.0,2.5
4297,3.0_12.0_0.6_2.2_10.0,-13688.495499999997,3.0,0.6,12.0,2.2
4298,4.4_15.0_0.6_1.4_10.0,-13693.278826923077,4.4,0.6,15.0,1.4
4299,3.8_13.5_0.8_1.6_10.0,-13677.899999999998,3.8,0.8,13.5,1.6
4300,3.8_12.5_0.7_2.9_10.0,-13674.143499999998,3.8,0.7,12.5,2.9
4301,4.8_11.5_1.2_2.0_10.0,-13720.643673076924,4.8,1.2,11.5,2.0
4302,3.6_11.0_0.6_1.4_10.0,-13689.823403846154,3.6,0.6,11.0,1.4
4303,3.6_9.5_1.0_2.5_10.0,-13683.317538461535,3.6,1.0,9.5,2.5
4304,4.2_16.0_0.6_2.2_10.0,-13699.1335,4.2,0.6,16.0,2.2
4305,3.2_12.0_1.1_2.5_10.0,-13685.83298076923,3.2,1.1,12.0,2.5
4306,4.6_13.0_1.3_2.5_10.0,-13679.181500000002,4.6,1.3,13.0,2.5
4307,4.2_9.0_1.1_1.6_10.0,-13749.825269230769,4.2,1.1,9.0,1.6
4308,3.0_12.0_0.9_2.5_10.0,-13681.867173076926,3.0,0.9,12.0,2.5
4309,3.8_15.5_0.5_2.7_10.0,-13715.849423076921,3.8,0.5,15.5,2.7
4310,4.2_13.5_0.6_2.2_10.0,-13679.221807692307,4.2,0.6,13.5,2.2
4311,3.6_14.5_0.6_1.4_10.0,-13709.554692307693,3.6,0.6,14.5,1.4
4312,4.8_12.0_1.0_1.6_10.0,-13709.732038461541,4.8,1.0,12.0,1.6
4313,4.0_9.5_0.7_2.3_10.0,-13736.377865384617,4.0,0.7,9.5,2.3
4314,3.2_9.5_0.9_2.5_10.0,-13672.203653846156,3.2,0.9,9.5,2.5
4315,4.8_14.0_1.2_2.0_10.0,-13672.189384615385,4.8,1.2,14.0,2.0
4316,4.6_9.0_0.8_1.6_10.0,-13821.180653846151,4.6,0.8,9.0,1.6
4317,3.8_10.0_0.5_2.7_10.0,-13708.139057692308,3.8,0.5,10.0,2.7
4318,4.6_16.5_1.3_2.5_10.0,-13715.901096153848,4.6,1.3,16.5,2.5
4319,3.0_17.5_0.9_2.5_10.0,-13808.724980769231,3.0,0.9,17.5,2.5
4320,3.2_17.5_1.1_2.5_10.0,-13801.109019230771,3.2,1.1,17.5,2.5
4321,4.6_17.0_1.4_2.3_10.0,-13729.965788461539,4.6,1.4,17.0,2.3
4322,3.0_9.5_1.1_1.4_10.0,-13672.277865384614,3.0,1.1,9.5,1.4
4323,3.0_12.5_0.7_2.1_10.0,-13687.846923076924,3.0,0.7,12.5,2.1
4324,4.6_14.5_1.0_2.8_10.0,-13674.220307692307,4.6,1.0,14.5,2.8
4325,3.2_15.5_1.2_2.8_10.0,-13768.471749999999,3.2,1.2,15.5,2.8
4326,4.4_13.5_0.5_2.1_10.0,-13686.37569230769,4.4,0.5,13.5,2.1
4327,4.4_14.5_0.8_2.8_10.0,-13675.847499999996,4.4,0.8,14.5,2.8
4328,4.4_9.0_1.0_2.7_10.0,-13772.410346153849,4.4,1.0,9.0,2.7
4329,3.4_17.5_1.2_2.6_10.0,-13797.961230769231,3.4,1.2,17.5,2.6
4330,4.2_16.5_0.8_2.6_10.0,-13700.568134615383,4.2,0.8,16.5,2.6
4331,4.0_16.5_1.0_2.6_10.0,-13716.898230769228,4.0,1.0,16.5,2.6
4332,3.8_9.0_0.9_1.4_10.0,-13727.850461538463,3.8,0.9,9.0,1.4
4333,4.4_16.0_0.5_2.1_10.0,-13700.903846153844,4.4,0.5,16.0,2.1
4334,3.2_10.0_1.2_2.8_10.0,-13680.610346153846,3.2,1.2,10.0,2.8
4335,4.8_9.5_1.1_2.7_10.0,-13799.480423076924,4.8,1.1,9.5,2.7
4336,4.4_11.0_0.8_2.8_10.0,-13709.860346153848,4.4,0.8,11.0,2.8
4337,4.6_12.5_1.4_2.3_10.0,-13685.025557692306,4.6,1.4,12.5,2.3
4338,4.6_11.0_1.0_2.8_10.0,-13725.733673076922,4.6,1.0,11.0,2.8
4339,3.0_17.0_0.7_2.1_10.0,-13807.00844230769,3.0,0.7,17.0,2.1
4340,3.4_9.5_0.8_1.4_10.0,-13685.333730769235,3.4,0.8,9.5,1.4
4341,3.2_9.0_0.7_2.1_10.0,-13684.05675,3.2,0.7,9.0,2.1
4342,4.0_9.0_0.9_2.7_10.0,-13744.497615384611,4.0,0.9,9.0,2.7
4343,4.0_13.0_1.0_2.6_10.0,-13673.972076923073,4.0,1.0,13.0,2.6
4344,3.4_12.0_1.2_2.6_10.0,-13693.907307692307,3.4,1.2,12.0,2.6
4345,4.2_13.0_0.8_2.6_10.0,-13668.931153846152,4.2,0.8,13.0,2.6
4346,3.0_17.0_0.8_2.6_10.0,-13799.133,3.0,0.8,17.0,2.6
4347,4.6_16.0_1.2_2.6_10.0,-13700.526826923076,4.6,1.2,16.0,2.6
4348,3.2_17.0_1.0_2.6_10.0,-13784.09353846154,3.2,1.0,17.0,2.6
4349,4.0_9.0_0.6_2.0_10.0,-13767.683230769231,4.0,0.6,9.0,2.0
4350,3.2_9.0_0.8_2.6_10.0,-13678.082826923077,3.2,0.8,9.0,2.6
4351,4.8_14.5_1.3_2.3_10.0,-13680.520019230771,4.8,1.3,14.5,2.3
4352,3.4_15.0_1.0_2.8_10.0,-13723.499019230772,3.4,1.0,15.0,2.8
4353,4.2_13.0_0.7_2.1_10.0,-13673.116596153848,4.2,0.7,13.0,2.1
4354,3.4_16.5_1.4_2.3_10.0,-13789.140057692304,3.4,1.4,16.5,2.3
4355,3.6_15.0_0.8_2.8_10.0,-13704.150480769229,3.6,0.8,15.0,2.8
4356,3.6_12.0_0.5_2.1_10.0,-13688.621269230769,3.6,0.5,12.0,2.1
4357,4.0_14.0_1.2_2.8_10.0,-13697.851942307692,4.0,1.2,14.0,2.8
4358,3.2_12.5_1.0_2.6_10.0,-13686.807269230769,3.2,1.0,12.5,2.6
4359,3.0_12.5_0.8_2.6_10.0,-13686.94846153846,3.0,0.8,12.5,2.6
4360,4.6_13.5_1.2_2.6_10.0,-13676.919884615383,4.6,1.2,13.5,2.6
4361,3.6_10.5_0.8_2.8_10.0,-13674.390596153846,3.6,0.8,10.5,2.8
4362,4.0_11.5_1.2_2.8_10.0,-13679.047153846153,4.0,1.2,11.5,2.8
4363,3.6_17.5_0.5_2.1_10.0,-13798.119884615386,3.6,0.5,17.5,2.1
4364,4.2_16.5_0.7_2.1_10.0,-13701.518211538463,4.2,0.7,16.5,2.1
4365,3.4_10.5_1.0_2.8_10.0,-13671.430115384615,3.4,1.0,10.5,2.8
4366,3.6_9.0_1.1_2.6_10.0,-13694.667942307693,3.6,1.1,9.0,2.6
4367,3.4_13.0_1.4_2.3_10.0,-13716.200326923079,3.4,1.4,13.0,2.3
4368,4.8_11.0_1.3_2.3_10.0,-13729.79403846154,4.8,1.3,11.0,2.3
4369,4.8_12.0_1.3_2.9_10.0,-13703.567634615385,4.8,1.3,12.0,2.9
4370,3.4_13.5_1.0_2.2_10.0,-13687.884076923077,3.4,1.0,13.5,2.2
4371,4.2_14.5_0.8_1.4_10.0,-13680.64403846154,4.2,0.8,14.5,1.4
4372,3.4_10.0_1.4_2.9_10.0,-13691.723980769235,3.4,1.4,10.0,2.9
4373,3.4_15.5_1.2_1.4_10.0,-13735.579519230767,3.4,1.2,15.5,1.4
4374,3.6_13.5_0.8_2.2_10.0,-13679.340384615383,3.6,0.8,13.5,2.2
4375,4.0_14.5_1.0_1.4_10.0,-13681.175673076923,4.0,1.0,14.5,1.4
4376,4.0_12.5_1.2_2.2_10.0,-13676.305826923079,4.0,1.2,12.5,2.2
4377,3.0_16.5_0.5_2.5_10.0,-13814.48476923077,3.0,0.5,16.5,2.5
4378,4.4_17.5_0.7_2.5_10.0,-13711.171365384615,4.4,0.7,17.5,2.5
4379,3.2_12.0_1.4_2.7_10.0,-13717.05825,3.2,1.4,12.0,2.7
4380,3.8_11.0_0.9_2.7_10.0,-13673.175346153846,3.8,0.9,11.0,2.7
4381,3.8_10.0_0.6_1.8_10.0,-13707.956923076921,3.8,0.6,10.0,1.8
4382,4.0_11.0_1.0_1.4_10.0,-13677.510250000001,4.0,1.0,11.0,1.4
4383,3.6_16.0_0.8_2.2_10.0,-13723.780596153843,3.6,0.8,16.0,2.2
4384,4.0_17.0_1.2_2.2_10.0,-13737.724557692309,4.0,1.2,17.0,2.2
4385,4.2_11.0_0.8_1.4_10.0,-13700.232903846152,4.2,0.8,11.0,1.4
4386,3.4_16.0_1.0_2.2_10.0,-13739.359999999999,3.4,1.0,16.0,2.2
4387,3.4_10.0_1.2_1.4_10.0,-13674.793596153844,3.4,1.2,10.0,1.4
4388,3.4_15.5_1.4_2.9_10.0,-13783.50692307692,3.4,1.4,15.5,2.9
4389,4.8_17.5_1.3_2.9_10.0,-13733.76930769231,4.8,1.3,17.5,2.9
4390,3.8_15.5_0.6_1.8_10.0,-13712.179499999998,3.8,0.6,15.5,1.8
4391,3.8_14.5_0.9_2.7_10.0,-13689.518019230767,3.8,0.9,14.5,2.7
4392,4.4_12.0_0.7_2.5_10.0,-13683.122423076924,4.4,0.7,12.0,2.5
4393,3.2_17.5_1.4_2.7_10.0,-13840.014826923081,3.2,1.4,17.5,2.7
4394,4.2_9.0_1.2_2.9_10.0,-13742.439788461537,4.2,1.2,9.0,2.9
